feature,importance
"cat__Condition_Rhythm disturbance (atrial, supraventricular)",0.0002240136715871071
cat__care_plan_following_discharge_Wound Care,0.00022255465110945544
cat__care_plan_following_discharge_Smoking Cessation,0.00021330053771850994
cat__uniquepid_009-11247,0.0002118273241958574
cat__care_plan_following_discharge_Medication Review; PCP Follow-up; Lifestyle Counseling,0.00021098683542766151
cat__Condition_Embolectomy (without general anesthesia),0.00019736740588476094
cat__uniquepid_007-10207,0.00019715158394951554
"cat__Condition_Hypovolemia (including dehydration, Do not include shock states)",0.0001914549921869434
"cat__Condition_CVA, cerebrovascular accident/stroke",0.00019137224096073152
cat__care_plan_following_discharge_Medication Management; Follow-up Cardiology,0.00019108533312159044
cat__uniquepid_004-12287,0.0001908280191002488
cat__care_plan_following_discharge_Dietary Restriction; Fluid Management,0.00018997040316426675
cat__uniquepid_002-15638,0.00018685493138127812
"cat__Condition_Obstruction-airway (i.e., acute epiglottitis, post-extubation edema, foreign body, etc)",0.00018337169383187687
cat__care_plan_following_discharge_IV Antibiotics Completion,0.0001817507358427399
cat__care_plan_following_discharge_PCP Follow-up; Lifestyle Counseling; Medication Review,0.000177373070737596
cat__care_plan_following_discharge_Follow-up Infectious Disease,0.0001761340660962045
cat__care_plan_following_discharge_PCP Follow-up; Medication Review,0.00017358874966231548
cat__Condition_Weaning from mechanical ventilation (transfer from other unit or hospital only),0.00017154407779695668
cat__care_plan_following_discharge_Physical Therapy,0.00016897703306556158
"cat__Condition_Pneumonia, bacterial",0.0001635423798475676
cat__care_plan_following_discharge_Cardiac Rehab; Home Health,0.0001631632066551414
cat__Condition_Chest/multiple trauma,0.00015996223327193113
cat__uniquepid_004-18183,0.0001570757659437877
cat__uniquepid_002-10300,0.00015622443979126206
"cat__Condition_Aneurysm, dissecting aortic",0.00015478929263656365
"cat__Condition_Cancer-colon/rectal, surgery for (including abdominoperineal resections)",0.00015306440875361763
cat__Condition_Drug withdrawal,0.0001518386847318348
cat__Condition_Cellulitis and localized soft tissue infections,0.0001480139143795551
"cat__Condition_Sepsis, other",0.0001441291522125414
"cat__Condition_Bleeding-upper GI, surgery for",0.00014384945544837328
cat__care_plan_following_discharge_PCP Follow-up; Medication Review; Lifestyle Counseling,0.00014275081419680958
cat__care_plan_following_discharge_Cardiac Rehab; Medication Management,0.00014030538157490448
cat__care_plan_following_discharge_Medication-Assisted Treatment,0.00013812054016395264
cat__care_plan_following_discharge_Follow-up Cardiology; Home Health,0.00013807998585052143
cat__Condition_Cardiac arrest (with or without respiratory arrest; for respiratory arrest see Respiratory System),0.00013088240782675527
cat__care_plan_following_discharge_Psychiatric Follow-up; Support Group; Medication-Assisted Treatment,0.00013011619073414468
cat__uniquepid_010-10084,0.0001289417344947054
cat__care_plan_following_discharge_Follow-up Pulmonology; Smoking Cessation,0.00012878983078127649
cat__care_plan_following_discharge_Pulmonary Rehab; Home O2 Therapy,0.0001280299893085899
"cat__Condition_CABG alone, coronary artery bypass grafting",0.00012777173249059053
"cat__Condition_Fistula/abscess, surgery for (not inflammatory bowel disease)",0.00012618696366945467
cat__care_plan_following_discharge_Occupational Therapy,0.00012502404861974587
cat__uniquepid_007-10493,0.00012174491808159414
cat__care_plan_following_discharge_Cardiac Rehab; Home Health; Follow-up Cardiology,0.00012128220867783185
cat__uniquepid_003-15846,0.00011962386292043674
cat__Condition_Pelvis/hip trauma,0.00011871432968156888
cat__care_plan_following_discharge_Medication Management; Follow-up Cardiology; Home Health,0.00011805042453913445
cat__care_plan_following_discharge_Psychiatric Follow-up,0.00011717743186181273
cat__Condition_Diabetic ketoacidosis,0.00011700030146123733
cat__care_plan_following_discharge_Follow-up Pulmonology; Smoking Cessation; Pulmonary Rehab,0.00011461544189693828
cat__Condition_Thoracotomy for bronchopleural fistula,0.00011253555627762381
cat__uniquepid_003-49255,0.00011210652090035959
"cat__Condition_Renal failure, acute",0.00010850420410444973
"cat__Condition_Spinal cord surgery, other",0.0001070140517117545
"cat__Condition_Bleeding, lower GI",0.00010692099098201528
cat__Condition_Chest/spinal trauma,0.00010439005641106684
cat__care_plan_following_discharge_Cardiac Rehab; Follow-up Cardiology; Medication Management,0.00010201832272800056
cat__care_plan_following_discharge_Lifestyle Counseling; Medication Review; PCP Follow-up,0.00010073164244181952
"cat__Condition_Effusions, pleural",0.00010002780776479053
cat__care_plan_following_discharge_Cardiac Rehab; Medication Management; Follow-up Cardiology,9.9809219243138e-05
cat__care_plan_following_discharge_Follow-up Cardiology; Medication Management,9.919235436188247e-05
cat__Condition_Coagulopathy,9.766763953051256e-05
cat__Condition_Anaphylaxis,9.633009607572735e-05
"cat__Condition_Extremity only trauma, surgery for",9.631917103042106e-05
"cat__Condition_Hemorrhage/hemoptysis, pulmonary",9.622214241583485e-05
cat__care_plan_following_discharge_Home O2 Therapy; Follow-up Pulmonology,9.562561737091523e-05
